2026-07-31 14:36:17 [INFO] === baseline_lstm  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 14:36:17 [INFO] Device: cuda
2026-07-31 14:36:17 [INFO] 
============================================================
  Each-Grid LSTM (Small)
============================================================
2026-07-31 14:36:17 [INFO]   Params: 369.9K
2026-07-31 14:39:04 [INFO]   [Each-Grid LSTM (Base)] Epoch   4/100 | Train: 0.10130 | Val: 0.11189 <- best | elapsed 6.8s | GPU 43/24564MB
2026-07-31 14:39:06 [INFO]   [Each-Grid LSTM (Base)] Epoch   5/100 | Train: 0.09642 | Val: 0.10885 <- best | elapsed 8.4s | GPU 43/24564MB
2026-07-31 14:39:08 [INFO]   [Each-Grid LSTM (Base)] Epoch   6/100 | Train: 0.09375 | Val: 0.10687 <- best | elapsed 10.1s | GPU 43/24564MB
2026-07-31 14:39:09 [INFO]   [Each-Grid LSTM (Base)] Epoch   7/100 | Train: 0.09194 | Val: 0.10539 <- best | elapsed 11.7s | GPU 43/24564MB
2026-07-31 14:39:11 [INFO]   [Each-Grid LSTM (Base)] Epoch   8/100 | Train: 0.09049 | Val: 0.10439 <- best | elapsed 13.3s | GPU 43/24564MB
2026-07-31 14:39:13 [INFO]   [Each-Grid LSTM (Base)] Epoch   9/100 | Train: 0.08926 | Val: 0.10335 <- best | elapsed 15.0s | GPU 43/24564MB
2026-07-31 14:39:14 [INFO]   [Each-Grid LSTM (Base)] Epoch  10/100 | Train: 0.08817 | Val: 0.10191 <- best | elapsed 16.5s | GPU 43/24564MB
2026-07-31 14:39:16 [INFO]   [Each-Grid LSTM (Base)] Epoch  11/100 | Train: 0.08718 | Val: 0.10145 <- best | elapsed 18.1s | GPU 43/24564MB
2026-07-31 14:39:17 [INFO]   [Each-Grid LSTM (Base)] Epoch  12/100 | Train: 0.08637 | Val: 0.10091 <- best | elapsed 19.7s | GPU 43/24564MB
2026-07-31 14:39:19 [INFO]   [Each-Grid LSTM (Base)] Epoch  13/100 | Train: 0.08539 | Val: 0.10085 <- best | elapsed 21.3s | GPU 43/24564MB
2026-07-31 14:39:21 [INFO]   [Each-Grid LSTM (Base)] Epoch  14/100 | Train: 0.08456 | Val: 0.10019 <- best | elapsed 22.9s | GPU 43/24564MB
2026-07-31 14:39:22 [INFO]   [Each-Grid LSTM (Base)] Epoch  15/100 | Train: 0.08380 | Val: 0.09967 <- best | elapsed 24.6s | GPU 43/24564MB
